EDAD_VICTIMA,FECHA,FECHA_AA,FECHA_DD,FECHA_DECESO,FECHA_MM,ID,ROL_VICTIMA,SEXO_VICTIMA,VH_VICTIMA
43,3/4/2017,2017,3,3/4/2017,4,2017-0040,CONDUCTOR,MASCULINO,AUTO
17,3/4/2017,2017,3,SD,4,2017-0041,CONDUCTOR,MASCULINO,MOTO
SD,10/4/2017,2017,10,10/4/2017,4,2017-0042,CONDUCTOR,MASCULINO,MOTO
21,14/4/2017,2017,14,14/4/2017,4,2017-0045,CONDUCTOR,MASCULINO,MOTO
37,23/4/2017,2017,23,23/4/2017,4,2017-0047,CONDUCTOR,MASCULINO,MOTO
22,27/4/2017,2017,27,27/4/2017,4,2017-0049,PEATON,MASCULINO,PEATON
16,28/4/2017,2017,28,28/4/2017,4,2017-0050,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
46,28/4/2017,2017,28,28/4/2017,4,2017-0050,CONDUCTOR,MASCULINO,MOTO
33,1/5/2017,2017,1,1/5/2017,5,2017-0051,CONDUCTOR,MASCULINO,AUTO
47,5/5/2017,2017,5,5/5/2017,5,2017-0052,PEATON,FEMENINO,PEATON
28,5/5/2017,2017,5,5/5/2017,5,2017-0053,CONDUCTOR,MASCULINO,MOTO
20,7/5/2017,2017,7,7/5/2017,5,2017-0054,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
32,9/5/2017,2017,9,9/5/2017,5,2017-0055,CONDUCTOR,MASCULINO,AUTO
80,9/5/2017,2017,9,9/5/2017,5,2017-0058,PEATON,MASCULINO,PEATON
39,11/5/2017,2017,11,11/5/2017,5,2017-0059,PEATON,FEMENINO,PEATON
30,13/5/2017,2017,13,13/5/2017,5,2017-0060,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
47,15/5/2017,2017,15,16/5/2017,5,2017-0061,PEATON,MASCULINO,PEATON
35,15/5/2017,2017,15,15/5/2017,5,2017-0062,CONDUCTOR,MASCULINO,MOTO
79,17/5/2017,2017,17,17/5/2017,5,2017-0063,PEATON,FEMENINO,PEATON
61,20/5/2017,2017,20,20/5/2017,5,2017-0064,PASAJERO_ACOMPAÑANTE,MASCULINO,CARGAS
21,22/5/2017,2017,22,22/5/2017,5,2017-0065,CICLISTA,MASCULINO,BICICLETA
10,22/5/2017,2017,22,22/5/2017,5,2017-0066,PEATON,MASCULINO,PEATON
21,23/5/2017,2017,23,23/5/2017,5,2017-0067,CONDUCTOR,MASCULINO,MOTO
32,27/5/2017,2017,27,27/5/2017,5,2017-0068,CONDUCTOR,MASCULINO,MOTO
39,29/5/2017,2017,29,29/5/2017,5,2017-0069,CONDUCTOR,MASCULINO,MOTO
80,30/5/2017,2017,30,31/5/2017,5,2017-0070,PEATON,MASCULINO,PEATON
25,3/6/2017,2017,3,3/6/2017,6,2017-0072,CONDUCTOR,MASCULINO,AUTO
19,4/6/2017,2017,4,4/6/2017,6,2017-0073,CONDUCTOR,MASCULINO,MOTO
70,4/6/2017,2017,4,4/6/2017,6,2017-0074,SD,MASCULINO,SD
55,12/6/2017,2017,12,12/6/2017,6,2017-0075,PEATON,MASCULINO,PEATON
30,13/6/2017,2017,13,13/6/2017,6,2017-0076,PEATON,FEMENINO,PEATON
60,17/6/2017,2017,17,18/6/2017,6,2017-0077,CONDUCTOR,FEMENINO,MOTO
